Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price,product_id
Glengoyne Cask Strength,59.6,70.0,69.95,2134
Edradour 2011,59.1,50.0,68.95,4150
Ledaig Rioja Cask Finish,46.3,70.0,34.45,3977
Dalmore Port Wood Reserve,46.5,70.0,69.95,4432
Laphroaig Lore,48.0,70.0,67.95,1936
Craigellachie 13 Year Old,46.0,70.0,51.95,3376
Balvenie 12 Year Old,47.8,70.0,62.95,250
Aberlour 2006,60.9,50.0,89.95,1471
Glengoyne The Legacy Series Chapter Three,48.0,70.0,59.95,3308
Caol Ila 2010,58.2,70.0,120.0,683
Highland Park 15 Year Old,44.0,70.0,79.95,1160
Loch Lomond 12 Year Old,46.0,70.0,35.95,1749
Glendronach Port Wood,46.0,70.0,63.95,1541
Bunnahabhain Toiteach A Dha,46.3,70.0,46.45,2646
Ardbeg An Oa,46.6,70.0,46.45,2773
Scapa Skiren,40.0,70.0,41.95,3555
Talisker Storm,45.8,70.0,44.95,3785
Glenmorangie Lasanta 12 Year Old,43.0,70.0,48.45,2082
Deanston 12 Year Old,46.3,70.0,41.95,1498
Glendronach 12 Year Old Original,43.0,70.0,48.45,3171
Glenlivet 15 Year Old,40.0,70.0,56.45,3050
Glenfarclas 12 Year Old,43.0,70.0,41.95,3711
Benrinnes 15 Year Old,43.0,70.0,53.75,3048
Port Charlotte 2012 SC:01,55.2,70.0,98.95,3274
Dalmore 21 Year Old,43.8,70.0,575.0,754
Lagavulin 10 Year Old,43.0,70.0,79.95,2915
Inchmoan 12 Year Old,46.0,70.0,35.95,2734
Octomore 10.3,61.3,70.0,172.0,1212
Tobermory 12 Year Old,46.3,70.0,46.95,3474
Mortlach 12 Year Old,43.4,70.0,54.95,3440
Br6 - Elements of Islay,50.4,50.0,94.95,2533
Old Pulteney 12 Year Old,40.0,70.0,32.45,2980
Personalised 12 Year Old Speyside Scotch Whisky,50.1,70.0,74.95,2267
Lagavulin 9 Year Old,46.0,70.0,79.95,3679
Glenfiddich Fire and Cane,43.0,70.0,44.95,3611
Caol Ila 13 Year Old,43.0,70.0,47.95,1796
Knockando 12 Year Old,43.0,70.0,39.95,1980
Glen Scotia Double Cask,46.0,70.0,39.95,3693
Glen Scotia Victoriana,54.2,70.0,72.95,602
Glen Scotia 15 Year Old,46.0,70.0,64.95,3888
Glen Scotia 1999,54.8,70.0,475.0,162
Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70.0,55.95,703
Glen Scotia 18 Year Old,46.0,70.0,110.0,2702
Glen Scotia 25 Year Old,48.8,70.0,495.0,50
Glen Scotia Tasting Set (Double Cask and 15 Year Old),46.0,40.0,43.95,4354
Springbank 12 Year Old,46.0,75.0,750.0,1956
Springbank CV,46.0,70.0,450.0,1426
Springbank CV New Presentation (Black Label),46.0,70.0,325.0,140
Macduff 1976,50.0,70.0,450.0,3132
Springbank 1965,50.5,70.0,10000.0,4037
Springbank 1965,54.5,70.0,15000.0,4100
Springbank 12 Year Old,43.0,75.0,1500.0,1667
Springbank 1969,54.4,75.0,4000.0,2865
Glen Scotia Double Cask,46.0,20.0,20.95,2585
Glen Scotia Double Cask,46.0,20.0,18.95,3964
Springbank 15 Year Old,46.0,75.0,1800.0,1256
Springbank 8 Year Old,43.0,75.0,1500.0,1072
Glen Scotia 1991,57.8,70.0,399.0,3428
Springbank 1962,46.0,70.0,15000.0,2767
Springbank 1967,52.0,70.0,3500.0,1101
Springbank 1975,43.0,70.0,1000.0,1029
Glen Scotia Double Cask,46.0,70.0,39.95,1085
Glen Scotia Victoriana,54.2,70.0,72.95,3752
Glen Scotia 15 Year Old,46.0,70.0,64.95,2378
Glen Scotia 1999,54.8,70.0,475.0,273
Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70.0,55.95,1815
Glen Scotia 18 Year Old,46.0,70.0,110.0,3508
Glen Scotia 25 Year Old,48.8,70.0,495.0,1059
Glen Scotia Tasting Set (Double Cask and 15 Year Old),46.0,40.0,43.95,4504
Springbank 12 Year Old,46.0,75.0,750.0,3495
Springbank CV,46.0,70.0,450.0,4192
Springbank CV New Presentation (Black Label),46.0,70.0,325.0,2393
Macduff 1976,50.0,70.0,450.0,1913
Springbank 1965,50.5,70.0,10000.0,4115
Springbank 1965,54.5,70.0,15000.0,1464
Springbank 12 Year Old,43.0,75.0,1500.0,573
Springbank 1969,54.4,75.0,4000.0,2784
Glen Scotia Double Cask,46.0,20.0,20.95,2624
Glen Scotia Double Cask,46.0,20.0,18.95,3843
Springbank 15 Year Old,46.0,75.0,1800.0,1406
Springbank 8 Year Old,43.0,75.0,1500.0,3121
Glen Scotia 1991,57.8,70.0,399.0,1614
Springbank 1962,46.0,70.0,15000.0,3150
Springbank 1967,52.0,70.0,3500.0,1411
Springbank 1975,43.0,70.0,1000.0,1092
Springbank 1967,43.4,70.0,3000.0,4496
Springbank 1967,50.9,75.0,3500.0,2661
Springbank 1967,43.1,75.0,4500.0,831
Springbank 1965,43.0,70.0,2750.0,2847
Springbank 1966,47.1,70.0,6000.0,4374
Springbank 18 Year Old,46.0,70.0,3000.0,3061
SMWS 27.16 (Springbank),57.8,75.0,3250.0,779
Springbank 1970,54.4,70.0,4500.0,1931
Springbank 1969,40.9,70.0,3000.0,1428
Springbank 1965,50.6,70.0,5000.0,1465
Springbank 10 Year Old,46.0,75.0,2000.0,2297
Springbank 1965,53.8,70.0,5000.0,2741
Springbank 20 Year Old,50.0,75.0,2000.0,3035
Springbank 12 Year Old,46.0,75.0,2250.0,1136
Springbank 1995,46.0,70.0,750.0,1152
Springbank 1966,61.2,75.0,15000.0,3813
Springbank 10 Year Old,46.0,70.0,450.0,2926
Glens Extra (Springbank) 8 Year Old,40.0,75.0,1500.0,3014
Springbank 1967,46.0,70.0,3000.0,1467
Springbank 1966,61.2,75.0,15000.0,3126
Longrow 1973,46.0,75.0,3000.0,1044
Campbeltown 1972,46.0,70.0,2000.0,1826
Longrow 14 Year Old,46.0,75.0,4000.0,2975
Springbank 1965,46.0,70.0,5500.0,3998
Springbank 1967,46.0,70.0,3000.0,1408
Springbank 1967,46.0,75.0,3000.0,3586
Springbank 25 Year Old,43.0,75.0,1400.0,3120
Springbank 1966,60.7,75.0,15000.0,1691
Springbank 1977,57.0,75.0,5500.0,2826
Longrow 1973,46.0,75.0,5000.0,1712
Springbank 1967,46.0,75.0,7500.0,3857
Springbank 50 Year Old,43.0,75.0,42000.0,877
Springbank 1965,46.0,75.0,6500.0,2000
Springbank 1963,46.0,75.0,7500.0,2922
Springbank 15 Year Old,46.0,75.0,2000.0,2116
Springbank 15 Year Old,46.0,75.0,2250.0,3749
Springbank 15 Year Old,46.0,75.0,1800.0,2388
Springbank 12 Year Old,43.0,75.0,1500.0,44
Springbank 175th Anniversay,46.0,70.0,550.0,708
Springbank 1969,46.0,70.0,3000.0,1950
Springbank 1964,52.2,70.0,6500.0,4145
Springbank 1964,51.5,75.0,5500.0,3684
Longrow 1987,45.0,70.0,4500.0,699
Longrow 1973,43.2,70.0,4500.0,1929
Longrow 1974,54.7,70.0,3500.0,2396
Glen Scotia 1969,50.0,70.0,1750.0,27
Glen Scotia Double Cask,46.0,70.0,39.95,196
Glen Scotia Victoriana,54.2,70.0,72.95,3620
Glen Scotia 15 Year Old,46.0,70.0,64.95,2991
Glen Scotia 1999,54.8,70.0,475.0,1798
Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70.0,55.95,1442
Glen Scotia 18 Year Old,46.0,70.0,110.0,163
Glen Scotia 25 Year Old,48.8,70.0,495.0,3587
Glen Scotia Tasting Set (Double Cask and 15 Year Old),46.0,40.0,43.95,512
Springbank 12 Year Old,46.0,75.0,750.0,2272
Springbank CV,46.0,70.0,450.0,3293
Springbank CV New Presentation (Black Label),46.0,70.0,325.0,349
Macduff 1976,50.0,70.0,450.0,3825
Springbank 1965,50.5,70.0,10000.0,189
Springbank 1965,54.5,70.0,15000.0,2673
Springbank 12 Year Old,43.0,75.0,1500.0,1698
Springbank 1969,54.4,75.0,4000.0,1659
Glen Scotia Double Cask,46.0,20.0,20.95,2866
Glen Scotia Double Cask,46.0,20.0,18.95,2070
Springbank 15 Year Old,46.0,75.0,1800.0,509
Springbank 8 Year Old,43.0,75.0,1500.0,1309
Glen Scotia 1991,57.8,70.0,399.0,4035
Springbank 1962,46.0,70.0,15000.0,2705
Springbank 1967,52.0,70.0,3500.0,3827
Springbank 1975,43.0,70.0,1000.0,2689
Glen Scotia Double Cask,46.0,70.0,39.95,3206
Glen Scotia Victoriana,54.2,70.0,72.95,2805
Glen Scotia 15 Year Old,46.0,70.0,64.95,910
Glen Scotia 1999,54.8,70.0,475.0,415
Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70.0,55.95,1646
Glen Scotia 18 Year Old,46.0,70.0,110.0,2137
Glen Scotia 25 Year Old,48.8,70.0,495.0,3741
Glen Scotia Tasting Set (Double Cask and 15 Year Old),46.0,40.0,43.95,1714
Springbank 12 Year Old,46.0,75.0,750.0,639
Springbank CV,46.0,70.0,450.0,3669
Springbank CV New Presentation (Black Label),46.0,70.0,325.0,2658
Macduff 1976,50.0,70.0,450.0,3655
Springbank 1965,50.5,70.0,10000.0,1755
Springbank 1965,54.5,70.0,15000.0,1790
Springbank 12 Year Old,43.0,75.0,1500.0,3925
Springbank 1969,54.4,75.0,4000.0,505
Glen Scotia Double Cask,46.0,20.0,20.95,1346
Glen Scotia Double Cask,46.0,20.0,18.95,918
Springbank 15 Year Old,46.0,75.0,1800.0,48
Springbank 8 Year Old,43.0,75.0,1500.0,3010
Glen Scotia 1991,57.8,70.0,399.0,1377
Springbank 1962,46.0,70.0,15000.0,1958
Springbank 1967,52.0,70.0,3500.0,2351
Springbank 1975,43.0,70.0,1000.0,2694
Deanston 18 Year Old,46.3,70.0,68.95,1266
Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,2073
Glendronach 15 Year Old Revival,46.0,70.0,69.95,1795
Oban Bay Reserve,43.0,70.0,62.95,2041
Clynelish Reserve,51.2,70.0,42.95,1477
Old Pulteney 15 Year Old,46.0,70.0,69.25,3681
Loch Lomond The Open Special Edition 2022,46.0,70.0,42.95,3012
Blair Athol 12 Year Old,43.0,70.0,48.95,3419
Ardnamurchan AD Single Malt,46.8,70.0,46.95,2600
Dalmore Port Wood Reserve Gift Set,46.5,70.0,79.95,4181
Dalmore 15 Year Old,40.0,70.0,83.95,3795
Royal Lochnagar 12 Year Old,40.0,70.0,40.95,3165
Oban 2006 Distillers Edition,43.0,70.0,78.95,3992
Nc'nean Organic Single Malt,46.0,70.0,46.95,4101
Edradour 10 Year Old,40.0,70.0,44.45,3397
Glendronach 21 Year Old Parliament,48.0,70.0,175.0,2464
Oban 14 Year Old,43.0,70.0,76.95,846
Glenmorangie Signet,46.0,70.0,165.0,576
MacDonald's Traditional Ben Nevis,46.0,70.0,46.95,2432
Clynelish 14 Year Old,46.0,70.0,49.95,1829
Ben Nevis 10 Year Old,46.0,70.0,52.95,1575
Aberfeldy 12 Year Old,40.0,70.0,39.95,1427
Edradour 12 Year Old,46.0,70.0,62.75,2879
Clynelish 14 Year Old,46.0,20.0,14.95,384
Deanston 18 Year Old,46.3,70.0,68.95,1391
Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,1752
Glendronach 15 Year Old Revival,46.0,70.0,69.95,293
Oban Bay Reserve,43.0,70.0,62.95,2998
Clynelish Reserve,51.2,70.0,42.95,1554
Old Pulteney 15 Year Old,46.0,70.0,69.25,3479
Loch Lomond The Open Special Edition 2022,46.0,70.0,42.95,901
Blair Athol 12 Year Old,43.0,70.0,48.95,1745
Ardnamurchan AD Single Malt,46.8,70.0,46.95,3185
Dalmore Port Wood Reserve Gift Set,46.5,70.0,79.95,2769
Dalmore 15 Year Old,40.0,70.0,83.95,993
Royal Lochnagar 12 Year Old,40.0,70.0,40.95,3726
Oban 2006 Distillers Edition,43.0,70.0,78.95,192
Nc'nean Organic Single Malt,46.0,70.0,46.95,4020
Edradour 10 Year Old,40.0,70.0,44.45,4119
Glendronach 21 Year Old Parliament,48.0,70.0,175.0,3753
Oban 14 Year Old,43.0,70.0,76.95,689
Glenmorangie Signet,46.0,70.0,165.0,3660
MacDonald's Traditional Ben Nevis,46.0,70.0,46.95,4103
Clynelish 14 Year Old,46.0,70.0,49.95,3868
Ben Nevis 10 Year Old,46.0,70.0,52.95,4538
Aberfeldy 12 Year Old,40.0,70.0,39.95,118
Edradour 12 Year Old,46.0,70.0,62.75,879
Clynelish 14 Year Old,46.0,20.0,14.95,3883
Dalmore 12 Year Old,40.0,70.0,54.95,3512
Glenmorangie 10 Year Old Original,40.0,70.0,36.95,4013
Glengoyne Cask Strength,59.6,70.0,69.95,1912
Edradour 2011,59.1,50.0,68.95,3552
Dalmore Port Wood Reserve,46.5,70.0,69.95,738
Glengoyne The Legacy Series Chapter Three,48.0,70.0,59.95,1494
Loch Lomond 12 Year Old,46.0,70.0,35.95,2257
Glendronach Port Wood,46.0,70.0,63.95,3973
Glenmorangie Lasanta 12 Year Old,43.0,70.0,48.45,2573
Deanston 12 Year Old,46.3,70.0,41.95,1793
Glendronach 12 Year Old Original,43.0,70.0,48.45,1462
Dalmore 21 Year Old,43.8,70.0,575.0,2419
Inchmoan 12 Year Old,46.0,70.0,35.95,2782
Old Pulteney 12 Year Old,40.0,70.0,32.45,1182
Glengoyne 18 Year Old,43.0,70.0,115.0,3963
Dalmore Cigar Malt,44.0,70.0,95.95,4299
AnCnoc 2009,46.0,70.0,48.95,3876
Oban 2008,56.2,70.0,105.0,1648
Classic Malts Coastal Collection,44.9,60.0,47.75,3865
Oban 14 Year Old,43.0,20.0,19.95,149
Croftengea 2006,52.6,70.0,74.95,3348
Oban Little Bay,43.0,70.0,56.95,2965
Glencadam 15 Year Old,46.0,70.0,59.95,562
Teaninich 10 Year Old,43.0,70.0,43.95,3228
AnCnoc 12 Year Old,40.0,70.0,31.45,2695
Glenglassaugh 2010,57.0,70.0,90.95,1531
Loch Lomond 2010,57.7,70.0,62.95,1497
Loch Lomond Original,40.0,70.0,25.95,2792
Glenmorangie Quinta Ruban 14 Year Old,46.0,70.0,54.95,2620
Glen Garioch 15 Year Old Sherry Cask,53.7,70.0,99.95,934
AnCnoc 24 Year Old,46.0,70.0,142.0,826
Glencadam Origin 1825,40.0,70.0,29.95,327
Glengoyne 21 Year Old,43.0,70.0,175.0,3921
Deanston 2008,66.8,70.0,105.0,2536
Ballechin 2003,51.3,70.0,175.0,2596
Glenturret 12 Year Old,46.0,70.0,64.95,1330
Macduff 2011,59.2,70.0,59.95,2955
Glenmorangie A Tale of Winter,46.0,70.0,74.95,1311
Glenmorangie Nectar D'Or,46.0,70.0,58.95,2871
Macduff 2002,58.5,70.0,150.0,3625
Fettercairn 2015 Warehouse 2,48.5,70.0,56.95,3646
Edradour 2007,58.7,70.0,92.95,510
Royal Brackla 12 Year Old,46.0,70.0,59.95,3815
Loch Lomond 14 Year Old,46.0,70.0,56.75,2768
Balblair 12 Year Old,46.0,70.0,44.45,126
Ben Nevis Coire Leis,46.0,70.0,44.95,1490
Glengoyne 12 Year Old,43.0,70.0,41.95,3498
Clynelish 1990,43.5,70.0,680.0,1519
Blair Athol 2010,51.6,70.0,64.95,2204
Oban 2007 Distillers Edition,43.0,70.0,78.95,1959
Glenmorangie Barrel Select Release 13 Year Old,46.0,70.0,73.25,1441
Deanston 2008 Oloroso Cask,52.7,70.0,72.95,801
Inchmurrin 12 Year Old,46.0,70.0,39.95,1780
Glenmorangie Spios,46.0,70.0,74.95,1643
Tomatin 15 Year Old,46.0,70.0,55.45,191
Glengoyne 21 Year Old,43.0,20.0,56.95,518
Glenglassaugh Revival,46.0,70.0,38.45,1392
Deanston Virgin Oak,46.3,70.0,35.25,1650
Glen Garioch 12 Year Old,48.0,70.0,45.75,2083
Blair Athol 2009,55.2,70.0,74.95,3532
Ruadh Mhor 2010 (Peated Glenturret),57.6,70.0,59.95,633
Edradour 1999,56.2,70.0,305.0,1144
Glenturret Triple Wood,44.0,70.0,47.95,2501
Glengoyne Cuartillo,40.0,100.0,54.95,2294
Glengoyne Triple Gift Pack,43.0,60.0,49.95,838
Loch Lomond 12 Year Old,46.0,20.0,20.95,1125
Glenmorangie 12 Year Old,47.3,70.0,74.95,4227
Deanston 2002,55.2,70.0,88.95,1689
Loch Lomond 18 Year Old,46.0,70.0,84.95,1902
Ardmore 2009,46.0,70.0,66.95,109
Fettercairn 12 Year Old,40.0,70.0,44.95,2390
Old Pulteney 25 Year Old,46.0,70.0,380.0,4416
Blair Athol 1993,58.4,70.0,375.0,3516
Tomatin 18 Year Old,46.0,70.0,106.0,3008
AnCnoc 18 Year Old,46.0,70.0,93.95,2280
Ballechin 10 Year Old,46.0,70.0,49.75,172
Glen Ord 28 Year Old,58.3,70.0,550.0,1857
Glengoyne 10 Year Old,40.0,70.0,37.95,4523
Tullibardine 2008,56.1,70.0,51.95,1133
Tomatin 2013,57.0,70.0,72.95,2270
Inchfad 2017,58.2,70.0,59.95,3706
Edradour 1999,55.7,70.0,265.0,843
Macduff 2009,51.9,70.0,74.95,2319
Highland 2008,48.0,70.0,62.95,1126
Cu Bocan Creation 4,46.0,70.0,59.95,1146
Glen Garioch 2011,53.9,70.0,62.95,2818
Teaninich 2009 Small Batch,46.0,70.0,58.95,1109
Glenturret 10 Year Old Peat Smoked,50.0,70.0,52.45,753
Aberfeldy Tasting Collection,42.0,60.0,65.95,674
Royal Lochnagar 2004,57.5,70.0,199.0,3745
Royal Brackla 18 Year Old,46.0,70.0,130.0,1023
Cu Bocan Creation 2,46.0,70.0,58.95,3076
Cu Bocan Signature,46.0,70.0,41.95,210
Loch Lomond 20 Year Old,50.2,70.0,160.0,2682
AnCnoc Peaty,46.0,70.0,79.95,692
Balblair 25 Year Old,46.0,70.0,540.0,2628
Arran 10 Year Old,46.0,70.0,38.75,1037
Talisker 10 Year Old,45.8,70.0,44.95,279
Highland Park 12 Year Old,40.0,70.0,33.45,3771
Talisker 10 Year Old Dry Bag Gift Set,45.8,70.0,55.95,888
Arran Sherry Cask,55.8,70.0,55.75,1608
Talisker Port Ruighe,45.8,70.0,51.95,4138
Ledaig 10 Year Old,46.3,70.0,42.75,2077
Highland Park Cask Strength,63.9,70.0,57.95,2875
Ledaig Rioja Cask Finish,46.3,70.0,34.45,3540
Highland Park 15 Year Old,44.0,70.0,79.95,2380
Scapa Skiren,40.0,70.0,41.95,1599
Talisker Storm,45.8,70.0,44.95,664
Tobermory 12 Year Old,46.3,70.0,46.95,1492
Talisker 2012,59.7,70.0,89.95,3597
Classic Malts Coastal Collection,44.9,60.0,47.75,3781
Highland Park 18 Year Old,43.0,70.0,115.0,3603
Scapa 2009,58.4,50.0,74.95,793
Jura 14 Year Old American Rye Cask,40.0,70.0,39.95,4269
Torabhaig Legacy Series Allt Glean,46.0,70.0,50.75,2502
Jura Journey,40.0,70.0,25.45,3991
Jura 18 Year Old,44.0,70.0,71.95,3240
Ledaig 2001,58.4,70.0,150.0,3352
Arran Barrel Reserve,43.0,70.0,33.95,924
Scapa Glansa,40.0,70.0,43.95,57
Arran 10 Year Old,46.0,70.0,38.75,3346
Talisker 10 Year Old,45.8,70.0,44.95,2590
Highland Park 12 Year Old,40.0,70.0,33.45,2484
Talisker 10 Year Old Dry Bag Gift Set,45.8,70.0,55.95,3849
Arran Sherry Cask,55.8,70.0,55.75,3932
Talisker Port Ruighe,45.8,70.0,51.95,3705
Ledaig 10 Year Old,46.3,70.0,42.75,1479
Highland Park Cask Strength,63.9,70.0,57.95,2044
Ledaig Rioja Cask Finish,46.3,70.0,34.45,1516
Highland Park 15 Year Old,44.0,70.0,79.95,2417
Scapa Skiren,40.0,70.0,41.95,875
Talisker Storm,45.8,70.0,44.95,3803
Tobermory 12 Year Old,46.3,70.0,46.95,985
Talisker 2012,59.7,70.0,89.95,4251
Classic Malts Coastal Collection,44.9,60.0,47.75,4385
Highland Park 18 Year Old,43.0,70.0,115.0,2061
Scapa 2009,58.4,50.0,74.95,2443
Jura 14 Year Old American Rye Cask,40.0,70.0,39.95,561
Torabhaig Legacy Series Allt Glean,46.0,70.0,50.75,2222
Jura Journey,40.0,70.0,25.45,2591
Jura 18 Year Old,44.0,70.0,71.95,3129
Ledaig 2001,58.4,70.0,150.0,598
Arran Barrel Reserve,43.0,70.0,33.95,1350
Scapa Glansa,40.0,70.0,43.95,3892
Talisker Skye,45.8,70.0,41.75,156
Jura 1992,52.4,70.0,267.0,2786
Highland Park 21 Year Old,46.0,70.0,225.0,3886
Jura 12 Year Old,40.0,70.0,34.95,1726
Tobermory 20 Year Old,46.3,70.0,169.0,1302
Highland Park Dark Origins,46.8,70.0,89.95,2214
Jura Rum Cask,40.0,70.0,38.95,2945
Talisker 2011,57.9,70.0,94.95,2580
Arran Quarter Cask,56.2,70.0,50.75,2039
Arran Robert Burns Single Malt,43.0,70.0,33.25,4487
Jura Red Wine Cask Edition,40.0,70.0,38.95,3642
Lagg Heavily Peated New Make Spirit,63.5,20.0,20.45,3906
Jura 21 Year Old,46.7,70.0,145.0,2121
Scapa 16 Year Old,40.0,70.0,275.0,4029
Talisker 25 Year Old,45.8,70.0,465.0,2364
Jura 2008,50.0,70.0,62.25,2933
Talisker 10 Year Old Whisky Show Package,43.0,70.0,150.0,3730
Secret Orkney 2005,56.0,70.0,84.95,1502
Ledaig 2007,58.5,70.0,87.95,1472
Jura 10 Year Old,40.0,70.0,30.95,745
